"coupon_id","country_symbol","amount","submitted_at","accepted_at","lead_receipt_id","offer_id","offer_name","offer_price","rebate_strategy","budget_name","corner_id","user_id","gender","age_group","preferred_language_key","category","receipt_amount","receipt_date","loyalty_card_number","chain","shop_name","shop_address","shop_zip","shop_city","region","webstore","chain_group","chain_type","item_id","item_identifier_product","item_price_product","product_name","product_price","rating","review","rank","answer_id","question_01","question_02","question_03","question_04","question_05","question_06","question_07","question_08","question_09","question_10","proposition_01","proposition_02","proposition_03","proposition_04","proposition_05","proposition_06","proposition_07","proposition_08","proposition_09","proposition_10"
148522695,"uk",1.0,"2025-04-25 10:30:37.078795+00:00","2025-04-25 11:03:49.544283+00:00",52921399,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",7973036,"female","45-54","en_GB","Yogurts",32.08,"2025-04-25","","Tesco","","","","","","","Tesco","",69679968,"ONKEN GREEK STYLE SET YOGURT",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
146134671,"uk",1.0,"2024-11-28 14:27:49.321814+00:00","2024-11-29 05:39:43.781515+00:00",51526526,58578,"Onken Greek Style Natural Set- VS4 Nov 24",1.75,"amount_off","","",3795587,"female","65+","en_GB","Yogurts",17.41,"2024-11-28","","Morrisons","","","","","","","Morrisons","",67579527,"ONKEN GREEK SET",1.95,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
144815028,"uk",1.0,"2024-10-10 20:53:34.898516+00:00","2024-10-13 18:27:12.398130+00:00",50868967,57723,"Onken Greek Style Natural Set- V1 sep 2024",1.75,"amount_off","","",10686646,"female","35-44","en_GB","Yogurts",4.86,"2024-10-10","","Morrisons","","","","","","","Morrisons","",66582393,"ONKEN GREEK SET",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
148342238,"uk",1.0,"2025-04-14 12:59:33.880696+00:00","2025-04-14 13:08:25.747238+00:00",52819115,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",1680651,"female","65+","en_GB","Yogurts",32.04,"2025-04-14","","Tesco","","","","","","","Tesco","",69531322,"ONKEN GREEK STYLE SET YOGURT",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
148469546,"uk",1.0,"2025-04-26 16:51:22.764466+00:00","2025-04-27 07:19:47.142077+00:00",52938642,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",10406592,"female","35-44","en_GB","Yogurts",13.6,"2025-04-26","","Tesco","","","","","","","Tesco","",69703359,"ONKEN GREEK STVLE SET YOGURT",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
148489965,"uk",1.0,"2025-04-24 12:55:56.815480+00:00","2025-04-24 13:25:11.328801+00:00",52910494,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",12856310,"male","35-44","en_GB","Yogurts",127.25,"2025-04-24","","Tesco","","","","","","","Tesco","",69665988,"ONKEN GREEK STYLE SET YOGURT NATURAL 450G",2.0,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
148365194,"uk",1.0,"2025-04-15 15:18:03.096070+00:00","2025-04-15 15:34:26.893508+00:00",52828160,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",4125108,"female","35-44","en_GB","Yogurts",33.4,"2025-04-15","","Morrisons","","","","","","","Morrisons","",69545665,"ONKEN GREEK SET",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
148370496,"uk",1.0,"2025-04-26 12:09:22.000209+00:00","2025-04-26 21:26:30.843546+00:00",52935435,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",3695925,"female","35-44","en_GB","Yogurts",21.1,"2025-04-26","","Tesco","","","","","","","Tesco","",69698935,"ONKEN GREEK STYLE SET YOGURT",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
148439952,"uk",1.0,"2025-04-19 15:35:38.150820+00:00","2025-04-21 06:16:33.872597+00:00",52872035,58943,"Onken Greek Style Natural Set- V5 Apr 25",1.75,"amount_off","","",12449495,"female","16-24","en_GB","Yogurts",38.0,"2025-04-19","","Tesco","","","","","","","Tesco","",69611725,"ONKEN GREEK STYLE SET YOGURT NATURAL 450G",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
144360867,"uk",1.0,"2024-10-04 09:14:52.168539+00:00","2024-10-06 06:33:51.212994+00:00",50771517,57723,"Onken Greek Style Natural Set- V1 sep 2024",1.75,"amount_off","","",10730716,"male","35-44","en_GB","Yogurts",50.53,"2024-10-04","","Morrisons.com","","","","","","","Online UK","",66437708,"ONKEN GREEK STYLE NATURAL SET 450G",1.5,"Onken Greek Style Natural Set 450g",1.95,"","",1,"","","","","","","","","","","","","","","","","","","","",""
